offset,region,mode,layer,mass_mean_over_cases
60,skill_span,rope,15,0.041384
60,skill_span,rope,16,0.050085
60,skill_span,rope,17,0.049517
60,skill_span,rope,18,0.037130
60,skill_span,rope,19,0.035130
60,skill_span,rope,20,0.030367
60,skill_span,rope,21,0.030709
60,skill_span,rope,22,0.036092
60,skill_span,rope,23,0.026149
60,skill_span,rope,24,0.034920
60,skill_span,rope,25,0.042883
60,skill_span,rope,26,0.034357
60,skill_span,rope,27,0.049517
60,skill_span,rope,28,0.041157
60,skill_span,rope,29,0.035619
60,skill_span,rope,30,0.031889
60,skill_span,rope,31,0.045841
60,skill_span,rope,32,0.033994
60,skill_span,rope,33,0.033293
60,skill_span,rope,34,0.028028
60,skill_span,rope,35,0.037941
60,skill_span,rope,36,0.021636
60,skill_span,rope,37,0.028302
60,skill_span,rope,38,0.031876
60,skill_span,rope,39,0.062595
60,pre_skill_context,recompute,0,0.028876
60,pre_skill_context,recompute,1,0.037309
60,pre_skill_context,recompute,2,0.047632
60,pre_skill_context,recompute,3,0.037492
60,pre_skill_context,recompute,4,0.041685
60,pre_skill_context,recompute,5,0.041740
60,pre_skill_context,recompute,6,0.028993
60,pre_skill_context,recompute,7,0.012499
60,pre_skill_context,recompute,8,0.007261
60,pre_skill_context,recompute,9,0.010004
60,pre_skill_context,recompute,10,0.008937
60,pre_skill_context,recompute,11,0.006756
60,pre_skill_context,recompute,12,0.023080
60,pre_skill_context,recompute,13,0.023077
60,pre_skill_context,recompute,14,0.027476
60,pre_skill_context,recompute,15,0.037503
60,pre_skill_context,recompute,16,0.032075
60,pre_skill_context,recompute,17,0.047942
60,pre_skill_context,recompute,18,0.038509
60,pre_skill_context,recompute,19,0.042909
60,pre_skill_context,recompute,20,0.038226
60,pre_skill_context,recompute,21,0.076173
60,pre_skill_context,recompute,22,0.055862
60,pre_skill_context,recompute,23,0.043196
60,pre_skill_context,recompute,24,0.073079
60,pre_skill_context,recompute,25,0.055918
60,pre_skill_context,recompute,26,0.049654
60,pre_skill_context,recompute,27,0.037492
60,pre_skill_context,recompute,28,0.055714
60,pre_skill_context,recompute,29,0.041236
60,pre_skill_context,recompute,30,0.034263
60,pre_skill_context,recompute,31,0.038743
60,pre_skill_context,recompute,32,0.024550
60,pre_skill_context,recompute,33,0.029003
60,pre_skill_context,recompute,34,0.031396
60,pre_skill_context,recompute,35,0.032049
60,pre_skill_context,recompute,36,0.018912
60,pre_skill_context,recompute,37,0.020102
60,pre_skill_context,recompute,38,0.021843
60,pre_skill_context,recompute,39,0.012788
60,pre_skill_context,rope,0,0.030347
60,pre_skill_context,rope,1,0.040559
60,pre_skill_context,rope,2,0.051432
60,pre_skill_context,rope,3,0.041374
60,pre_skill_context,rope,4,0.043973
60,pre_skill_context,rope,5,0.049516
60,pre_skill_context,rope,6,0.039455
60,pre_skill_context,rope,7,0.016337
60,pre_skill_context,rope,8,0.011405
60,pre_skill_context,rope,9,0.014034
60,pre_skill_context,rope,10,0.010177
60,pre_skill_context,rope,11,0.009066
60,pre_skill_context,rope,12,0.033965
60,pre_skill_context,rope,13,0.032650
60,pre_skill_context,rope,14,0.035704
60,pre_skill_context,rope,15,0.040276
60,pre_skill_context,rope,16,0.043064
60,pre_skill_context,rope,17,0.061811
60,pre_skill_context,rope,18,0.050439
60,pre_skill_context,rope,19,0.061146
60,pre_skill_context,rope,20,0.060096
60,pre_skill_context,rope,21,0.106804
60,pre_skill_context,rope,22,0.069843
60,pre_skill_context,rope,23,0.060934
60,pre_skill_context,rope,24,0.088554
60,pre_skill_context,rope,25,0.075051
60,pre_skill_context,rope,26,0.063914
60,pre_skill_context,rope,27,0.049906
60,pre_skill_context,rope,28,0.058549
60,pre_skill_context,rope,29,0.046688
60,pre_skill_context,rope,30,0.038395
60,pre_skill_context,rope,31,0.044269
60,pre_skill_context,rope,32,0.036494
60,pre_skill_context,rope,33,0.041382
60,pre_skill_context,rope,34,0.043096
60,pre_skill_context,rope,35,0.046733
60,pre_skill_context,rope,36,0.034360
60,pre_skill_context,rope,37,0.034822
60,pre_skill_context,rope,38,0.039071
60,pre_skill_context,rope,39,0.017000
90,skill_span,recompute,0,0.142588
90,skill_span,recompute,1,0.192180
90,skill_span,recompute,2,0.219272
90,skill_span,recompute,3,0.156372
90,skill_span,recompute,4,0.167716
90,skill_span,recompute,5,0.143101
90,skill_span,recompute,6,0.110991
90,skill_span,recompute,7,0.046720
90,skill_span,recompute,8,0.034938
90,skill_span,recompute,9,0.031455
90,skill_span,recompute,10,0.037864
90,skill_span,recompute,11,0.032750
90,skill_span,recompute,12,0.033854
90,skill_span,recompute,13,0.034971
90,skill_span,recompute,14,0.037451
90,skill_span,recompute,15,0.030090
90,skill_span,recompute,16,0.031328
90,skill_span,recompute,17,0.040394
90,skill_span,recompute,18,0.025779
90,skill_span,recompute,19,0.022505
90,skill_span,recompute,20,0.026008
90,skill_span,recompute,21,0.047936
90,skill_span,recompute,22,0.050098
90,skill_span,recompute,23,0.038063
90,skill_span,recompute,24,0.056204
90,skill_span,recompute,25,0.047593
90,skill_span,recompute,26,0.051752
90,skill_span,recompute,27,0.040694
90,skill_span,recompute,28,0.041495
90,skill_span,recompute,29,0.038876
90,skill_span,recompute,30,0.035418
90,skill_span,recompute,31,0.043402
90,skill_span,recompute,32,0.031724
90,skill_span,recompute,33,0.034923
90,skill_span,recompute,34,0.031921
90,skill_span,recompute,35,0.033325
90,skill_span,recompute,36,0.029702
90,skill_span,recompute,37,0.028486
90,skill_span,recompute,38,0.028374
90,skill_span,recompute,39,0.024685
90,skill_span,rope,0,0.168068
90,skill_span,rope,1,0.219866
90,skill_span,rope,2,0.236067
90,skill_span,rope,3,0.172249
90,skill_span,rope,4,0.183911
90,skill_span,rope,5,0.176176
90,skill_span,rope,6,0.126551
90,skill_span,rope,7,0.050759
90,skill_span,rope,8,0.041852
90,skill_span,rope,9,0.034651
