timestamp,mem_total_kb,mem_free_kb,mem_available_kb,buffers_kb,cached_kb,swap_total_kb,swap_free_kb,pswpin,pswpout,pgpgin,pgpgout
1782702402.014841012,131645012,18973320,114050876,5206540,84688204,8388604,8085844,8012169,16604204,1404425831,3495389837
1782702403.067918584,131645012,18907660,114047540,5206540,84750528,8388604,8085844,8012169,16604204,1404488155,3495390073
1782702404.121098785,131645012,18909988,114052736,5206540,84753368,8388604,8085844,8012169,16604204,1404491207,3495390233
1782702405.173708200,131645012,18903848,114048636,5206552,84755944,8388604,8085844,8012169,16604204,1404493667,3495391945
1782702406.225338400,131645012,18904796,114050648,5206556,84756492,8388604,8085844,8012169,16604204,1404494115,3495392061
1782702407.277905000,131645012,18856452,114014528,5206560,84769184,8388604,8085844,8012169,16604204,1404506807,3495392205
1782702408.330200964,131645012,18830536,113989148,5206568,84769184,8388604,8085844,8012169,16604204,1404506807,3495392389
1782702409.383536257,131645012,18812196,113972320,5206568,84769184,8388604,8085844,8012169,16604204,1404506807,3495392617
1782702410.436649642,131645012,18807032,113965652,5206572,84769192,8388604,8085844,8012169,16604204,1404506815,3495392721
1782702411.489793315,131645012,18805048,113963672,5206576,84769192,8388604,8085844,8012169,16604204,1404506815,3495392953
1782702412.542202594,131645012,18802048,113960676,5206580,84769192,8388604,8085844,8012169,16604204,1404506815,3495393089
1782702413.594537451,131645012,18797372,113955252,5206584,84769192,8388604,8085844,8012169,16604204,1404506815,3495393201
1782702414.647592366,131645012,18794840,113952972,5206584,84769192,8388604,8085844,8012169,16604204,1404506815,3495393337
1782702415.700535502,131645012,18796032,113954732,5206588,84769272,8388604,8085844,8012169,16604204,1404506815,3495393441
1782702416.753322363,131645012,18787764,113946400,5206588,84769192,8388604,8085844,8012169,16604204,1404506815,3495394457
1782702417.805706006,131645012,18752424,113931624,5206604,84789740,8388604,8085844,8012169,16604204,1404517275,3495395201
1782702418.858313527,131645012,18747324,113929556,5206608,84792764,8388604,8085844,8012169,16604204,1404519015,3495407393
1782702419.910945404,131645012,18740732,113924340,5206608,84794148,8388604,8085844,8012169,16604204,1404519015,3495407589
1782702420.963739055,131645012,18728868,113912592,5206616,84794248,8388604,8085844,8012169,16604204,1404519015,3495407757
1782702422.016676628,131645012,18480300,113664544,5206620,84794752,8388604,8085844,8012169,16604204,1404519023,3495416309
1782702423.069544497,131645012,18460696,113644448,5206620,84794316,8388604,8085844,8012169,16604204,1404519079,3495416489
1782702424.122715187,131645012,18456856,113640656,5206620,84794316,8388604,8085844,8012169,16604204,1404519079,3495416597
1782702425.175118715,131645012,18452252,113636060,5206620,84794316,8388604,8085844,8012169,16604204,1404519079,3495416737
1782702426.228774680,131645012,18426712,113610520,5206632,84794316,8388604,8085844,8012169,16604204,1404519079,3495416845
1782702427.282722605,131645012,18388352,113572172,5206636,84794316,8388604,8085844,8012169,16604204,1404519079,3495416985
1782702428.335194453,131645012,18325684,113508604,5206636,84794448,8388604,8085844,8012169,16604204,1404519259,3495417253
1782702429.387723299,131645012,18224956,113405432,5206636,84794500,8388604,8085844,8012169,16604204,1404519259,3495417393
1782702430.440915320,131645012,18168344,113352352,5206640,84794500,8388604,8085844,8012169,16604204,1404519259,3495417541
1782702431.493128070,131645012,18113532,113297544,5206640,84794504,8388604,8085844,8012169,16604204,1404519259,3495417657
1782702432.545480154,131645012,17985068,113169084,5206640,84794508,8388604,8085844,8012169,16604204,1404519259,3495417797
1782702433.598006910,131645012,17874812,113058828,5206672,84794476,8388604,8085844,8012169,16604204,1404519727,3495417917
1782702434.655014396,131645012,17867732,113062468,5206700,84805520,8388604,8085844,8012169,16604204,1404520491,3495419041
1782702435.712492827,131645012,17867476,113062216,5206700,84805528,8388604,8085844,8012169,16604204,1404520495,3495419149
1782702436.768153874,131645012,17863892,113058632,5206700,84805536,8388604,8085844,8012169,16604204,1404520495,3495419285
1782702437.823943285,131645012,17863812,113058556,5206700,84805536,8388604,8085844,8012169,16604204,1404520495,3495419389
1782702438.879945720,131645012,17863260,113058012,5206700,84805536,8388604,8085844,8012169,16604204,1404520495,3495419525
1782702439.935601002,131645012,17861256,113056016,5206704,84805536,8388604,8085844,8012169,16604204,1404520495,3495419637
1782702440.991379568,131645012,17860948,113055708,5206704,84805536,8388604,8085844,8012169,16604204,1404520495,3495422685
1782702442.048226214,131645012,17856820,113051584,5206712,84805540,8388604,8085844,8012169,16604204,1404520495,3495423653
1782702443.103558943,131645012,17857588,113052364,5206716,84805540,8388604,8085844,8012169,16604204,1404520495,3495423749
1782702444.159804867,131645012,17858872,113053144,5206720,84805540,8388604,8085844,8012169,16604204,1404520495,3495423945
1782702445.215748953,131645012,17857124,113051900,5206720,84805540,8388604,8085844,8012169,16604204,1404520495,3495424057
1782702446.272344611,131645012,17859692,113054472,5206724,84805540,8388604,8085844,8012169,16604204,1404520495,3495424161
1782702447.327503206,131645012,17861700,113056480,5206724,84805540,8388604,8085844,8012169,16604204,1404520495,3495424297
1782702448.383860604,131645012,17858864,113053656,5206724,84805540,8388604,8085844,8012169,16604204,1404520495,3495427373
