timestamp,mem_available_kb,swap_used_kb,pswpin,pswpout,pgpgin,pgpgout,pid_majflt,swap_pss_kb,swap_kb,locked_kb,vmlck_kb,anon_kb,pss_anon_kb,pss_file_kb,private_dirty_kb
1782706587.235443430,80324336,301736,8012301,16604204,1530416223,3496714713,234358,0,0,0,0,2006404,2006404,386315,32298692
1782706588.513139159,80328364,301736,8012301,16604204,1530416223,3496714877,234358,0,0,0,0,2006404,2006404,386318,32298696
1782706589.792826617,80327248,301736,8012301,16604204,1530416223,3496714981,234358,0,0,0,0,2006404,2006404,386318,32298704
1782706591.072865454,80327196,301736,8012301,16604204,1530416223,3496715117,234358,0,0,0,0,2006404,2006404,386318,32298712
1782706592.349406883,80326076,301736,8012301,16604204,1530416223,3496715221,234358,0,0,0,0,2006404,2006404,386318,32298716
1782706593.628846903,80325408,301736,8012301,16604204,1530416223,3496715513,234358,0,0,0,0,2006404,2006404,386318,32298724
1782706594.907468204,80324920,301736,8012301,16604204,1530416223,3496715665,234358,0,0,0,0,2006404,2006404,386318,32298732
1782706596.184281938,80322704,301736,8012301,16604204,1530416223,3496715769,234358,0,0,0,0,2006404,2006404,386318,32298736
1782706597.459850740,80320364,301736,8012301,16604204,1530416223,3496716009,234358,0,0,0,0,2006404,2006404,386318,32298744
1782706598.738287145,80319684,301736,8012301,16604204,1530416223,3496716141,234358,0,0,0,0,2006404,2006404,386318,32298752
1782706600.015663687,80320384,301736,8012301,16604204,1530416223,3496716245,234358,0,0,0,0,2006404,2006404,386318,32298756
1782706601.294617061,80321876,301736,8012301,16604204,1530416223,3496716377,234358,0,0,0,0,2006404,2006404,386315,32298764
1782706602.574174069,80321008,301736,8012301,16604204,1530416223,3496716509,234358,0,0,0,0,2006404,2006404,386318,32298768
1782706603.853731297,80318796,301736,8012301,16604204,1530416227,3496716613,234358,0,0,0,0,2006404,2006404,386318,32298776
1782706605.135624024,80322412,301736,8012301,16604204,1530416227,3496716749,234358,0,0,0,0,2006404,2006404,386318,32298784
1782706606.416895226,80324116,301736,8012301,16604204,1530416227,3496716853,234358,0,0,0,0,2006404,2006404,386315,32298788
1782706607.691905733,80327692,301736,8012301,16604204,1530416227,3496721721,234358,0,0,0,0,2006404,2006404,386318,32298796
1782706608.974468189,80329424,301736,8012301,16604204,1530416227,3496721841,234358,0,0,0,0,2006404,2006404,386315,32298804
1782706610.254983295,80326216,301736,8012301,16604204,1530416227,3496722373,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706611.534358954,80324456,301736,8012301,16604204,1530416227,3496722473,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706612.812502797,80321484,301736,8012301,16604204,1530416227,3496722609,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706614.092709722,80322396,301736,8012301,16604204,1530416227,3496722717,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706615.370382546,80323236,301736,8012301,16604204,1530416227,3496722985,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706616.652081288,80324392,301736,8012301,16604204,1530416227,3496723133,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706617.931460289,80322948,301736,8012301,16604204,1530416227,3496723249,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706619.210168297,80324424,301736,8012301,16604204,1530416227,3496723401,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706620.488383608,80327980,301736,8012301,16604204,1530416227,3496723537,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706621.767161435,80326296,301736,8012301,16604204,1530416227,3496725057,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706623.045348031,80326400,301736,8012301,16604204,1530416259,3496725217,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706624.323122603,80326880,301736,8012301,16604204,1530416259,3496725477,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706625.599922792,80328872,301736,8012301,16604204,1530416259,3496725613,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706626.879880455,80325344,301736,8012301,16604204,1530416259,3496725749,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706628.156706122,80323744,301736,8012301,16604204,1530416259,3496725917,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706629.433315556,80323892,301736,8012301,16604204,1530416259,3496726057,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706630.709125230,80326216,301736,8012301,16604204,1530416259,3496726193,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706631.983416040,80324080,301736,8012301,16604204,1530416259,3496728093,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706633.264045958,80322120,301736,8012301,16604204,1530416259,3496728189,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706634.542565498,80323216,301736,8012301,16604204,1530416259,3496728393,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706635.824211121,80323412,301736,8012301,16604204,1530416259,3496728497,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706637.101283920,80323128,301736,8012301,16604204,1530416259,3496728633,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706638.378980094,80325208,301736,8012301,16604204,1530416259,3496729265,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706639.659447535,80327404,301736,8012301,16604204,1530416259,3496729417,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706640.936211786,80324492,301736,8012301,16604204,1530416259,3496729553,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706642.217446130,80324032,301736,8012301,16604204,1530416259,3496729657,234358,0,0,0,0,2006444,2006444,386315,32298844
1782706643.493889936,80324108,301736,8012301,16604204,1530416259,3496729801,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706644.773075987,80324824,301736,8012301,16604204,1530416259,3496729945,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706646.047595375,80324632,301736,8012301,16604204,1530416259,3496732725,234358,0,0,0,0,2006444,2006444,386318,32298844
1782706647.324123942,80324116,301736,8012301,16604204,1530416259,3496732861,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706648.602211076,80326488,301736,8012301,16604204,1530416259,3496733117,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706649.880949862,80325232,301736,8012301,16604204,1530416259,3496733233,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706651.157061470,80327300,301736,8012301,16604204,1530416259,3496733369,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706652.438196191,80326000,301736,8012301,16604204,1530416259,3496733505,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706653.716888721,80325880,301736,8012301,16604204,1530416259,3496733609,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706654.997136777,80327332,301736,8012301,16604204,1530416259,3496733917,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706656.276356070,80328236,301736,8012301,16604204,1530416259,3496734029,234358,0,0,0,0,2006484,2006484,386315,32298884
1782706657.555941995,80327420,301736,8012301,16604204,1530416259,3496734165,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706658.835022783,80328400,301736,8012301,16604204,1530416259,3496734401,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706660.114492672,80329900,301736,8012301,16604204,1530416259,3496734505,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706661.393452134,80326888,301736,8012301,16604204,1530416259,3496734641,234358,0,0,0,0,2006484,2006484,386315,32298884
1782706662.671443375,80325760,301736,8012301,16604204,1530416259,3496734777,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706663.951338453,80323148,301736,8012301,16604204,1530416259,3496736765,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706665.229278971,80324484,301736,8012301,16604204,1530416259,3496736881,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706666.512504601,80322212,301736,8012301,16604204,1530416259,3496737073,234358,0,0,0,0,2006484,2006484,386315,32298884
1782706667.791107852,80321088,301736,8012301,16604204,1530416259,3496737177,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706669.071498863,80319132,301736,8012301,16604204,1530416259,3496737321,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706670.352874211,80319016,301736,8012301,16604204,1530416259,3496737425,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706671.633368418,80319028,301736,8012301,16604204,1530416259,3496737561,234358,0,0,0,0,2006484,2006484,386315,32298884
1782706672.913800212,80318444,301736,8012301,16604204,1530416259,3496737697,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706674.192371218,80318076,301736,8012301,16604204,1530416259,3496740741,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706675.472664551,80323268,301736,8012301,16604204,1530416259,3496740877,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706676.752955637,80321060,301736,8012301,16604204,1530416259,3496741013,234358,0,0,0,0,2006484,2006484,386315,32298884
1782706678.030524206,80322620,301736,8012301,16604204,1530416259,3496741117,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706679.310237715,80319348,301736,8012301,16604204,1530416259,3496742301,234358,0,0,0,0,2006484,2006484,386318,32298884
1782706680.586915214,80319092,301736,8012301,16604204,1530416259,3496742577,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706681.868693409,80319528,301736,8012301,16604204,1530416259,3496742681,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706683.149015537,80320160,301736,8012301,16604204,1530416259,3496742817,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706684.427311611,80319084,301736,8012301,16604204,1530416259,3496744309,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706685.706333175,80321636,301736,8012301,16604204,1530416259,3496744501,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706686.984457953,80320544,301736,8012301,16604204,1530416259,3496744617,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706688.263415688,80321368,301736,8012301,16604204,1530416259,3496744721,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706689.542307878,80318908,301736,8012301,16604204,1530416259,3496744937,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706690.820687815,80320652,301736,8012301,16604204,1530416259,3496745073,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706692.101431089,80321672,301736,8012301,16604204,1530416259,3496745177,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706693.382042002,80322352,301736,8012301,16604204,1530416259,3496745313,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706694.661131007,80324376,301736,8012301,16604204,1530416259,3496745449,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706695.941896448,80326660,301736,8012301,16604204,1530416259,3496745553,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706697.222142486,80324332,301736,8012301,16604204,1530416259,3496745689,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706698.500824844,80322664,301736,8012301,16604204,1530416259,3496745825,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706699.781587620,80320632,301736,8012301,16604204,1530416259,3496745945,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706701.062876705,80320548,301736,8012301,16604204,1530416259,3496746093,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706702.343527632,80318820,301736,8012301,16604204,1530416259,3496746197,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706703.627788640,80321064,301736,8012301,16604204,1530416263,3496746597,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706704.906655085,80324856,301736,8012301,16604204,1530416271,3496746745,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706706.185509824,80324864,301736,8012301,16604204,1530416271,3496746873,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706707.463537521,80325464,301736,8012301,16604204,1530416271,3496747009,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706708.744031896,80325644,301736,8012301,16604204,1530416275,3496747145,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706710.023486208,80324584,301736,8012301,16604204,1530416275,3496749673,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706711.302659442,80321856,301736,8012301,16604204,1530416283,3496749829,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706712.580722366,80322892,301736,8012301,16604204,1530416283,3496749965,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706713.860810903,80322064,301736,8012301,16604204,1530416283,3496750069,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706715.139806442,80326216,301736,8012301,16604204,1530416283,3496752781,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706716.420592705,80323756,301736,8012301,16604204,1530416283,3496752917,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706717.701166854,80319264,301736,8012301,16604204,1530416283,3496753021,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706718.979362815,80320952,301736,8012301,16604204,1530416283,3496753157,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706720.256766304,80321296,301736,8012301,16604204,1530416283,3496753313,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706721.537735748,80323400,301736,8012301,16604204,1530416283,3496753449,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706722.818157206,80319228,301736,8012301,16604204,1530416283,3496754769,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706724.070929364,80316464,301736,8012301,16604204,1530416283,3496754953,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706725.349437845,80319112,301736,8012301,16604204,1530416283,3496755081,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706726.627796650,80319024,301736,8012301,16604204,1530416283,3496755225,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706727.907599960,80315528,301736,8012301,16604204,1530416283,3496755329,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706729.184567917,80313828,301736,8012301,16604204,1530416283,3496755617,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706730.463191202,80314340,301736,8012301,16604204,1530416283,3496755741,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706731.744605012,80316268,301736,8012301,16604204,1530416283,3496758393,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706733.021780870,80312816,301736,8012301,16604204,1530416283,3496758489,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706734.299658550,80312236,301736,8012301,16604204,1530416283,3496758673,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706735.577888828,80312372,301736,8012301,16604204,1530416283,3496758793,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706736.858323376,80313508,301736,8012301,16604204,1530416283,3496758929,234358,0,0,0,0,2006520,2006520,386315,32298920
